PDF Path,Text
10.pdf,"""DOTI Official 2 explained that the technical details of the Cargo Apron extension project were taken from the cargo terminal study produced by the Evaluation Company and pasted into the tender document specifications. Thereafter, it was up to the company winning the tender to demonstrate that they could fulfil the specification.

According to DOTI Official 2, Airport Engineer 1, who arrived shortly after the tender had been launched, had been angry with the Evaluation Company for allowing DOTI Official 2 to send out excerpts of their study as the tender specifications. Airport Engineer 1 had also expressed concern at the method used for preparing the tender documents, as from an engineering point of view the tenders did not contain sufficient detail. However, DOTI Official 2 stated that if the Evaluation Company had been asked to prepare the tender documents, it would have cost more money. He/she had therefore prepared the tender documents himself/herself and sent them to a Procurement Official at the CPE to review and help him with the procurement exercise.

Assistance from the CPE was provided primarily by a CPE Procurement Officer, and to a lesser extent by the Procurement Official, as to the procurement documents and rules. However, DOTI Official 2 expressed the view that neither the Procurement Official nor the CPE Procurement Officer would have had the technical expertise or time to review the technical specifications.

DOTI Official 2 emphasised that there was no engineering expert to support his/her work at the time the tender was launched, a fact that made his/her work very difficult."""
10.pdf,"""DOTI Official 2 is primarily responsible for the shortcomings in the tender documents although, DOTI Official 1 and the CPE must also bear a certain amount of responsibility.

The shortcomings in the tender documents are likely to have prejudiced some companies in their decision as to submitting bids for the tenders, since they may not have been clear as to the detailed requirements of the tender and therefore submitted insufficient detail in their bids as a result.

Three persons are indicated to have both attended the bid opening session as well as been on the tender evaluation committee, in conflict with UN regulations.

Evidence indicates the contract for the Cargo Apron Extension was not channelled through the Office of the Legal Adviser.

Evidence indicates that the Vendor produced its own bearing capacity report for the Cargo Apron, thereby “self certifying” its own work and presenting a potential conflict of interest."""
105.pdf,"""Description

This is a Secret US National Security Agency (NSA) report derived from intelligence intercepts of officials  within  the  Japanese Ministry  of Economy, Trade  and  Industry  and  the  Ministry of  Foreign Affairs,  shortly before the official visit of Japanese Prime Minister Shinzo Abe to Washington DC, for talks with President George W Bush. Abe's government is reported to have been considering not informing the United States of the Prime Minister's plan to reduce carbon emissions, on the basis that the plan might be opposed by the  Bush  administration. As  the  report  shows,  the  National  Security Agency  was  aware  both of the plan not to inform the United States, and of the government's change of mind, which was taken at a briefing at the Prime Minister's official residence."""
105.pdf,"""Japanese to State Goal of Reducing Carbon Emissions by Half by 2050 
(S//SI//NF)

(S//NF) In preparing for the 26 to 27 April visit to Washington by Japanese Prime Minister Shinzo Abe, the Japanese Ministry of Economy, Trade, and Industry (METI) apparently wanted to come up with a simple message regarding climate change with which the U.S. can agree. Accordingly, METI has pushed three principles: technical development, energy conservation and nuclear energy, and participation of all countries in the future framework. Meanwhile, the Ministry of Foreign Affairs (MFA) apparently wants Abe to mention at the bilateral summit Japan's goal of reducing carbon emissions by half by 2050 as part of the ""Abe initiative,"" which will be announced in late May. The MFA was considering not informing the U.S. in advance of its intention, because the ministry did not expect Washington to approve of such a goal, based on the U.S. reaction to climate change issues so far. It was apparently decided at a briefing at the Prime Minister's official residence that Abe will clearly state the goal at the bilateral summit, with advance notification to the United States. Japan anticipates no major harm to the Japanese­U.S. relationship as a result. "
106.pdf,"""Tokyo's Climate Change Officials to Continue Promoting Sectoral 
Approach (TS//SI//NF)

(TS//SI//NF) Japanese climate change officials apparently plan to continue promoting the sectoral approach despite criticism from the International Energy Agency (IEA) and some European Union officials. Fatih Birol, Chief Economist of the IEA, reportedly warned the Japanese in mid­-May that they are pushing too hard to promote the sectoral approach and may be perceived as offering this approach as the only option for reducing carbon emissions. He also cautioned that the sectoral approach is not yet understood and that Tokyo must clarify the concept and promote understanding and trust among the nations concerned. Masakazu Toyoda of the Japanese Ministry of Economy, Trade, and Industry expressed frustration at this criticism then laid out three advantages of the sectoral approach: first, the approach is designed to get China, India, and the U.S. on board; second, this approach allows developed countries to avoid expending unnecessary efforts to reduce carbon emissions in areas covered by the sectoral approach; and third, the sectoral approach will, in Toyoda's estimation, not result in any economic or industrial loss for developed or developing nations. One Japanese official thinks that it may be difficult for the Europeans to implement the sectoral approach in sectors such as electricity, which is already subject to the Emissions Trading Scheme (ETS). He suggested that the ultimate solution is dependent upon the EU accepting a method of determining a figure for total carbon emissions reductions that includes the electricity sector. Toyoda claimed that businesses from several sectors  ­including steel, aluminum, cement, and petroleum­­are threatening to cease their European operations if the ETS continues as is."
107.pdf,"""Description

This is a secret US National Security Agency (NSA) report derived from intelligence intercepts of officials within the Japanese government, shortly before 2008 G-8 Summit held in Lake Toya in Japan. The report observes a widespread impetus within the Japanese government, involving multiple ministries, towards Japanese leadership at the G-8 summit on policy to combat climate change, focusing on a Japanese initiative towards the ""sectoral approach"" to reducing carbon emissions. The report is marked for sharing with the United States' ""Five Eyes"" intelligence partners: Australia, Canada, Great Britain and New Zealand.

Japanese Leadership Working to Narrow Down Climate Change Goals for G­8 Summit (TS//SI)

(TS//SI//REL TO USA, AUS, CAN, GBR, NZL) Japanese officials from the Ministry of Economy Trade and Industry, Ministry of Foreign Affairs, Ministry of Finance, and Ministry of Environment briefed Chief Cabinet Secretary Nobutaka Machimura on 20 February on the environmental goals they believe Japan should work toward achieving at the G­8 Summit at Lake Toya, Japan, in July. Obtaining an agreement to use a sector-­based cumulative approach for medium-­term emissions reduction targets for individual countries was mentioned as one of the key objectives. Japan is also seeking to demonstrate its leadership in the environmental sector at the Summit and may announce its domestic emissions reduction goals prior to the meeting."""
108.pdf,"""Japanese Strive to Avoid Damage to U.S. Relations Over Cherry Imports (TS//SI//OC/NF)

(TS//SI//OC/NF) Officials in the Japanese Ministry of Agriculture, Forestry, and Fisheries (MAFF) appeared recently to be seeking ways to prevent damage to relations with the U.S. over the ministry's decision to delay the importation of U.S.-­origin cherries, a decision driven by Japanese politicians and growers. MAFF was alarmed by the very strong reaction of the U.S. Department of Agriculture to Tokyo's ruling that imports could not commence until the end of this month, when a pilot program involving inspections in the U.S. Pacific Northwest by a MAFF inspector is expected to be concluded satisfactorily. One approach under consideration is to have the ministry admit to Washington, through back channels, that the decision had been the product of political pressure. Also, it was recommended that the U.S. be notified that­­unlike in the beef dispute­­imports could begin as soon as the result of on­site inspection is confirmed, rather than after the inspector had returned to Japan and more tests conducted. The principal fear among the Japanese is that the issue will become similarly politicized, possibly at senior levels, in Washington. 

Unconventional 

Japanese governmental  

Z­3/OO/515570­09, 221708Z"""
108.pdf,"""Description

This  is  a  Secret  US  National  Security Agency  (NSA)  2009  report  derived  from  intelligence  intercepts  of officials within the Japanese Ministry of Agriculture, Forestry and Fisheries. The report indicates that the National  Security  Agency  knew  of  the  options  under  consideration  within  the  Ministry  for  how  Japan should seek to patch up bilateral relations with the US over a trade dispute concerning the import of US cherries. Among  the  options  being  discussed  were  the  use  of  back  channels  to  share  information  with Washington. The report indicates that the main Japanese incentive is the avoidance of politicization of the trade issue in Washington."""
11.pdf,"Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2. Pillar II supervised the Department of Transport and Infrastructure (DOTI) Official 1. The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by the DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from the armed forces of a United Nations member state, specifically Airport Engineer I, Airport Engineer 2 and Airport Engineer 3, and later by the Consultant from the Consulting Firm. On 1 July 2002, the responsibility for the administration of the Airport passed from Pillar II to the Kosovo Trust Agency (KTA) and Pillar IV. The Divisional Manager was appointed at the Airport Sector, KTA at the same time. Under him were the PEAP Official and the Air Traffic Control Services (ATCS) Official. On 1 April 2004 Pristina International Airport, which had until that time been under the jurisdiction of KFOR was handed over to civilian jurisdiction, under ICAO regulations. It is against this background of change that procurement procedures relating to the following contract have been examined."
11.pdf,"METHODOLOGY This investigation was conducted pursuant to Executive Decision No 2003/16 on the establishment of the Investigation Task Force. The ITF investigators conducted an enquiry into the allegations raised by interviews with persons indicated to be witnesses and persons potentially implicated in the allegations; by obtaining documents from the Pristina Airport administration and from Pillar IV, which were then analysed for relevance to the inquiry at hand. This report details the findings resulting from these enquiries. BACKGROUND INFORMATION Pristina International Airport constitutes a state owned enterprise under Yugoslavian law. The assets of the airport include the runways, terminal buildings, hanger, fuel storage facilities and equipment. During the period covered by this investigation, from 2001 until 2003, they were maintained by the Public Enterprise Airport Pristina, (PEAP) in cooperation with Military Units of the Kosovo Force (KFOR). Pursuant to United Nations Security Council Resolution 1244 dated 10 June 1999, and UNMIK Regulation No 1/1999 dated 25 July 1999, UNMIK is mandated to administer the territory of Kosovo, including state owned and publicly owned assets. This includes Pristina International Airport."
110.pdf,"The EU and Japan were engaged as of early December in strategy sessions aimed at a common handling policy to deal with potential U.S. moves in the Doha Round negotiations. There was a conviction in both Brussels and Tokyo, according to Japanese reporting, that great care must be taken to avoid falling prey to U.S. moves designed to extort concessions through exaggerated initial demands. Regarding U.S. domestic supports for agriculture, for example, Japanese Minister of Agriculture, Forestry, and Fisheries Toshikatsu Matsuoka and EU Agriculture Commissioner Marianne Fischer-Boel recently pondered whether to jump-start the negotiations by asking the U.S. for a specific dollar figure in reduced supports. The problem for the EU, it was noted, is whether or not the proposed $17 billion mark is an acceptable point of departure, since U.S. supports at that level are judged to be in no way comparable to the breadth of market access that Brussels put on the table last July. A figure of $14 to $15 billion would be more in line with the EU's thinking, Fischer-Boel indicated. The EU also had concerns that Washington may be headed for a showdown with developing countries over special products. As for sensitive products, Fischer-Boel's deputy chef de cabinet, Klaus-Dieter Borchardt, hinted to the Japanese that the EU may be willing to go lower than its current official limit of 8 percent, possibly as low as 4 to 5 percent; however, that would be hard for Japan to accept. Borchardt also tried to allay Japanese fears that the EU might try again to enter into a bilateral, under-the-table deal with the U.S. (as had happened in Cancun in 2003), saying that Brussels had learned its lesson with respect to such back-door actions."
111.pdf,"A 22 October meeting attended by German Chancellor Angela Merkel, French President Nicolas Sarkozy, and Italian Prime Minister (PM) Silvio Berlusconi was later described by the Italian's personal adviser on international relations, Valentino Valentini, as tense and very harsh toward the Rome government. Merkel and Sarkozy, evidently brooking no excuses with respect to Italy's current predicament, pressured the PM to announce strong, concrete palliatives and then to implement them in order to show that his government is serious about its debt problem. Sarkozy was said to have told Berlusconi that while the latter's claims about the solidity of the Italian banking system may be true in theory, financial institutions there could soon ""pop"" like the cork in a champagne bottle, that ""words are no longer enough,"" and that Berlusconi must now ""make decisions."" Also on the 24th, Valentini indicated that EU Council President Herman Van Rompuy had urged Italy to undertake policies aimed at reducing the impression within the EU that the country is weighed down with an enormous debt at a moment in time when it also is struggling with low productivity and showing little dynamism. In Van Rompuy's opinion, Spain is the model that Italy should now be seeking to emulate."
112.pdf,"Israel has reached out to Europe, including Italy, for help in smoothing out the current rift in its relations with the United States, according to Italian diplomatic reporting of 13 March. Speaking with Italian Prime Minister (PM) Silvio Berlusconi, Israeli PM Binyamin Netanyahu insisted that the trigger for the dispute--Israel's decision to build 1,600 homes in contested East Jerusalem--was totally in keeping with national policy dating back to the administration of Golda Meir, and blamed this mishandling on a government official with poor political sensitivity. The objective now, Netanyahu said, is to keep the Palestinians from using this issue as a pretext to block a resumption of talks or to advance unrealistic claims that could risk sinking the peace negotiations altogether. Continuing, he asserted that the tension has only been heightened by the absence of direct contact between himself and the U.S. President. In response, Berlusconi promised to put Italy at Israel's disposal in helping mend the latter's ties with Washington. Other Israeli officials, meanwhile, believed that this tiff goes far beyond merely the question of the construction plans, marking instead the lowest point in U.S.-Israeli relations in memory."
113.pdf,"Japan, preparing for its role as chairman of the Group-of-8 (G-8) summit at Lake Toya early in July, has given notice that it intends to strive for a long-term commitment on climate change with specific figures, while Germany believes that the crucial issue at the summit is whether the U.S. will accept going beyond Heiligendamm (the site of last year's G-8 summit) language in the framework of the G-8 if the emerging countries do not accept numerical targets at the Major Economies Meeting (MEM). (According to press reports, leaders from 16 countries, including the members of the G-8 plus China, India, Brazil, Australia, Indonesia, South Korea, South Africa, and Mexico, plan to discuss climate change on the margins of the G-8 summit in Japan.) Masaharu Kono, Japan's G-8 sherpa, emphasized Tokyo's position in an exchange with his German counterpart, Bernd Pfaffenback, on 17 June, while Pfaffenback provided his country's take on the issues to be addressed at Lake Toya. The German also noted that, in response to a U.S. request, his country would likely give up its demand for a 25- to 45-percent mid-term carbon dioxide reduction at the MEM. In addition, he does not believe that the emerging economies are willing to go beyond the Bali language at present, his feeling being that they prefer instead to wait until next year's G-8 summit in Copenhagen, because they do not wish to give up things now that they might be prepared to give up later. It is also Pfaffenback's position that a failure of the emerging economies to accept a long-term goal with numbers, even in brackets, would pose difficulties for the G-8 and possibly lead to a clash at the summit itself if there is no fallback position."
114.pdf,"UNSYG Ban Ki-moon, in an exchange on 10 December with German Chancellor Angela Merkel, pointed out that the world would be watching the EU with ""keen interest"" for reassurances that it will maintain its leadership role in combating climate change. He believes that the mid-December EU Summit in Brussels will impact on the UN Conference on Climate Change in Poznan as well as the 2009 Copenhagen Talks, stressing that without positive signals and continued leadership from the EU, it would be difficult for the UN to make a commitment in Poznan. Ban also maintained that since the new U.S. administration will have a very engaging and proactive attitude on the issue, the time is right for the EU and the whole world to create conditions necessary for reaching a meaningful deal at the 2009 UN Climate Talks. In that regard, Ban considered the Poznan Conference to be very important as a ""bridge"" toward Copenhagen. Ban also praised Merkel for her personal efforts regarding the issue of combating climate change and for encouraging other EU leaders to agree on the issue. For her part, Merkel was optimistic that the EU Summit would come to an agreement, although she acknowledged that the tough issue would involve carbon dioxide trading. Both Ban and Merkel favored holding a mini-summit in early 2009 to involve the new U.S. administration, believing that it is important to get a clear idea of U.S. intentions. Merkel believed that the climate-change issue should be discussed at the heads-of-state level, otherwise it would not work."
13.pdf,"Non Staff member 1’s statements provided to the ITF Investigators, disclosed the following  two distinct cases:  

Case A 

On either 30 or 31 July 2004, Non Staff member 1 said he/she was contacted by Official 1’s  daughter, Official 2’s Secretary, requesting him/her to come to Restaurant 1 located in  Hajvali.  

Non Staff member 1 stated that he/she was personally greeted upon his arrival by Security  Official, Official 2’s Secretary and Official 1 and another person, male, but name unknown,  who was there seeking a similar employment route.  

According to Non Staff member 1, the other person paid, in his presence, the sum of  €10.000,00 to Official 2’s Secretary, just before Non Staff member 1 himself/herself handed  €5.000,00 to the same person

After both persons had paid the agreed upon cash amounts, they were both requested to sign  three different coloured books entitled “Airport Staff”, and then asked to leave because they  would be contacted by telephone as to the details of their future employment at Pristina  Airport.  "
13.pdf,"Non Staff member 1’s statements provided to the ITF Investigators, disclosed the following  two distinct cases:  

Case-B  

Non Staff member 1 stated that he/she was aware of another case of kickbacks for Pristina Airport employment, which occurred circa 6 September 2004. Non Staff member 1, in his role as the owner of a hamburger/sandwich stand/restaurant - well-frequented by airport employees – said he/she was contacted by KPS officer 2 who requested information in relation to what business connections Non Staff member 4 had within Pristina Airport. 

Non Staff member 1 stated that Non Staff member 5, the wife of KPS Officer 2 met Non Staff member 4 in the clothing boutique where he/she worked, while he/she was purchasing airport uniforms. At that time, he/she had asked him/her how to obtain a job  at the airport. He/she allegedly replied he/she had no problems in getting him/her a job at  Pristina Airport due to his/her important airport contacts, but it would cost him/her € 3.000,00."
13.pdf,"Non Staff member 1’s statements provided to the ITF Investigators, disclosed the following two distinct cases: Case A On 25-26 July 2004, Non Staff member 1 alleges to have visited Official 1 (Pristina Airport) asking how he/she could obtain employment at Pristina Airport. He/she stated that Official 1 had replied that this was possible, but only via the payment of a considerable amount of money. Non Staff member 1 was aware that two other persons, Non Staff member 2 and Non Staff member 3 had already paid €7,000.00 each, to Official 1 through the same procedure, in the hope of receiving employment at Pristina Airport."
13.pdf,"Non Staff member 1’s statements provided to the ITF Investigators, disclosed the following two distinct cases: Case A Non Staff member 1 told the ITF that he/she was called again, two days later, in order to pay an additional € 1.000,00, which he/she had then given to Official 2’s Secretary, in the presence of his/her father, Official 1, during a dinner that Official 1 and his daughter were having at the same mentioned restaurant. Non Staff member 1 also said that he/she paid approximately € 180 for that night’s dinner and that he/she was called, always by Official 2’s Secretary, to two further dinners at Restaurant 2 and at Restaurant 1. Non-Staff member 1 was requested to pay, amounts of € 225 and € 190 for the dinners. Non Staff member 1 stated that during the dinner, the following Pristina Airport staff were present: Security Official, a Secretary, Official 2, X-Ray Official, Official 1, Official 2’s Secretary, Official 3, Official 4 and one person who only spoke English (name unknown). This person may have been Official 5, because Non Staff member 1 stated that this person was not a Kosovar, but an International and furthermore, at a certain point when this person was not present, all the others congratulated Non Staff member 1 for his new job. The Investigators believe that the above-mentioned Airport staff were attempting to demonstrate to Non Staff member 1 that they were in contact with the competent person who could authorize his employment."
14.pdf,"""Background and Allegations A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 October 2004, which described the audit of the procurement of staff uniforms by Pristina Airport, raised concerns as to the reasoning for the cancellation of a competitive tender for summer and winter uniforms (Pristina Airport Reference No. PEAP/CG/UAS/19/05/04) and the subsequent issue of a single source contract for summer uniforms for new staff (Pristina Airport Reference No. SHKTA/CG/16-04).
In the IAU memo, reference is made to a letter of complaint dated 28-06-04 from Vendor 1, a company that competed for the tender and that was subsequently awarded the single source contract to supply summer uniforms. The author of the letter, Vendor 1 Manager, alleged the existence of rumours and witnesses in the matter of the bribery of Procurement Officer 1, Pristina Airport, and the Finance Officer, Pristina Airport, by one of Vendor 1 Manager’s competitors in the tender process, Vendor 2. Vendor 1 Manager’s letter also identified his intention to seek legal action against Procurement Officer 1 for allegedly violating “the procurement rules” by: replacing a member of the Bid Evaluation Committee in the competitive tender; allowing a member of the Finance Department, the Finance Officer, to sit on the committee; and favouring Vendor 2 in the tender process.
During the course of the investigation, Procurement Officer 1 told the ITF that, following the cancellation of the competitive tender, Vendor 1 Manager had made utterances to him/her that Procurement Officer 1 had interpreted as a threat. The ITF commenced an inquiry into the allegations regarding the procurement process and now provides a summary of the case and its findings and recommendations."""
14.pdf,"Background and Allegations A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 October 2004, which described the audit of the procurement of staff uniforms by Pristina Airport, raised concerns as to the reasoning for the cancellation of a competitive tender for summer and winter uniforms (Pristina Airport Reference No. PEAP/CG/UAS/19/05/04) and the subsequent issue of a single source contract for summer uniforms for new staff (Pristina Airport Reference No. SHKTA/CG/16-04). In the IAU memo, reference is made to a letter of complaint dated 28-06-04 from Vendor 1, a company that competed for the tender and that was subsequently awarded the single source contract to supply summer uniforms. The author of the letter, Vendor 1 Manager, alleged the existence of rumours and witnesses in the matter of the bribery of Procurement Officer 1, Pristina Airport, and the Finance Officer, Pristina Airport, by one of Vendor 1 Manager’s competitors in the tender process, Vendor 2. Vendor 1 Manager’s letter also identified his intention to seek legal action against Procurement Officer 1 for allegedly violating “the procurement rules” by: replacing a member of the Bid Evaluation Committee in the competitive tender; allowing a member of the Finance Department, the Finance Officer, to sit on the committee; and favouring Vendor 2 in the tender process. During the course of the investigation, Procurement Officer 1 told the ITF that, following the cancellation of the competitive tender, Vendor 1 Manager had made utterances to him/her that Procurement Officer 1 had interpreted as a threat. The ITF commenced an inquiry into the allegations regarding the procurement process and now provides a summary of the case and its findings and recommendations."
15.pdf,"""Allegation

In July 2004, the Investigation Task Force (ITF) was provided with a copy of a letter dated 28 May 2004, from the Cargo Manager of an Airline to a Staff Member of Public Enterprise Airport Pristina. In the letter, the Cargo Manager referred to several problems relative to an Invoice for April 2004 issued by the Cargo Department of Pristina Airport for the handling of the outgoing mail of a Member State’s KFOR. At the time, Pristina Airport staff could not locate a record of this invoice in the airport’s financial records, and, therefore, the commission of fraud on the part of staff in the Cargo Department was suspected."""
15.pdf,"""Background

Pristina Airport is the Airline’s cargo handling agent for both imports and exports and the Airline is the Member State’s KFOR’s mail handling agent. Pristina Airport collects mail-handling revenues on behalf of the Airline and deposits these revenues to the airline’s bank account after deducting the appropriate commission.

The issues identified in the letter by the Airline Cargo Manager related to the high rate (€0.50/kg) charged by Pristina Airport for handling outgoing mail; the fact that the Invoice had been incorrectly sent to the Member State’s KFOR instead of their agent, the Airline; and the inappropriate addition of Value Added Tax (VAT), which is not applicable to international traffic."""
